"","hours","Countrycode","mean_NO2"
"1",0,"DE",18.9315409909321
"2",0,"NL",23.3160249582826
"3",1,"DE",17.5918205494656
"4",1,"NL",21.7043881626731
"5",2,"DE",17.0545857544658
"6",2,"NL",20.6715353236143
"7",3,"DE",17.7853225752067
"8",3,"NL",20.5445118358354
"9",4,"DE",21.0201723192534
"10",4,"NL",21.9348673229368
"11",5,"DE",26.3201067598491
"12",5,"NL",26.4069290968348
"13",6,"DE",30.6663697874533
"14",6,"NL",31.5174269897399
"15",7,"DE",31.8792727689339
"16",7,"NL",33.8042251863338
"17",8,"DE",29.9987291036103
"18",8,"NL",32.322778813791
"19",9,"DE",27.4501861260809
"20",9,"NL",29.3577861976375
"21",10,"DE",25.233173499362
"22",10,"NL",26.5456340185018
"23",11,"DE",23.6580042861248
"24",11,"NL",24.1051250284865
"25",12,"DE",23.1312871109029
"26",12,"NL",22.4943710006691
"27",13,"DE",23.3963159798634
"28",13,"NL",21.9866684977594
"29",14,"DE",24.5340817096776
"30",14,"NL",22.5429828918335
"31",15,"DE",26.1666948238203
"32",15,"NL",23.5455786525918
"33",16,"DE",28.0111794423522
"34",16,"NL",25.0274778136604
"35",17,"DE",29.4639854081535
"36",17,"NL",26.5406841715314
"37",18,"DE",29.9007127648597
"38",18,"NL",27.512182397342
"39",19,"DE",29.7413327156226
"40",19,"NL",28.2344210100371
"41",20,"DE",28.7018846980932
"42",20,"NL",28.8786592896779
"43",21,"DE",27.1832150380784
"44",21,"NL",28.7680131603148
"45",22,"DE",24.8926673991533
"46",22,"NL",27.6504839535373
"47",23,"DE",22.170945917258
"48",23,"NL",25.8950491140717
